GEOID,tract_name,total_jobs,resident_workers,jobs_worker_ratio,low_wage_jobs,medium_wage_jobs,high_wage_jobs,share_low_wage_jobs,share_low_wage_resident_workers,job_density_per_sq_mi,median_rent,median_household_income,affordable_rent_estimate,rent_affordability_gap,wage_housing_mismatch_flag,rent_burden_rate,poverty_rate,unemployment_rate,households_without_vehicles,no_vehicle_share,people_of_color_share,nh_white_share,nh_black_share,hispanic_share,bachelors_plus_share,hs_plus_share,transit_access_flag,nearest_stop_miles,stops_within_0_25_mi,stops_within_0_5_mi,routes_within_0_5_mi,transit_metric_status,spatial_mismatch_score_equal,spatial_mismatch_score_custom,spatial_mismatch_score,spatial_mismatch_tier,opportunity_access_index,opportunity_access_tier,area_sq_mi,centroid_lon,centroid_lat
31055007435,Census Tract 74.35,195,1983,0.09833585476550681,39,70,86,0.2,0.19818456883509833,291.07518112631016,1684.0,84635.0,2115.875,-431.875,False,0.4005847953216374,0.0470498474059003,0.0283926852743022,7.0,0.0044671346522016,0.264367816091954,0.735632183908046,0.057471264367816,0.108695652173913,0.2477317554240631,0.967258382642998,,,,,,GTFS unavailable - placeholder,26.9,33.1,33.1,Lower,61.3,Moderate,0.6699300134262599,-96.06276808800277,41.29905450398434
31055007436,Census Tract 74.36,1126,2355,0.4781316348195329,280,524,322,0.24866785079928952,0.1961783439490446,1292.226636274846,1069.0,65960.0,1649.0,-580.0,False,0.500590318772137,0.1216617210682492,0.0297786720321931,110.0,0.0592353257942918,0.3125458547322084,0.6874541452677916,0.136219124480313,0.0420640743458058,0.2241206030150754,0.9547738693467336,,,,,,GTFS unavailable - placeholder,33.3,38.3,38.3,Moderate,56.6,Moderate,0.8713641774526222,-96.06313533332542,41.2929995624933
31055007439,Census Tract 74.39,4940,2712,1.8215339233038348,638,1242,3060,0.1291497975708502,0.1504424778761062,3991.8374262598,1365.0,106477.0,2661.925,-1296.9250000000002,False,0.4232283464566929,0.0164956749145041,0.0505450941526263,15.0,0.0077439339184305,0.2902836451418226,0.7097163548581774,0.0595453631060148,0.1868839267752967,0.4909697138093915,0.981661572659072,,,,,,GTFS unavailable - placeholder,24.0,29.6,29.6,Lower,66.8,Higher,1.2375253479770574,-96.10135587805647,41.28533089023365
31055007440,Census Tract 74.40,1633,1347,1.212323682256867,347,731,555,0.21249234537660747,0.1603563474387528,2138.9047243579735,1135.0,59940.0,1498.5,-363.5,False,0.360091743119266,0.0659655831739961,0.0215362526920315,31.0,0.0267011197243755,0.3637667304015296,0.6362332695984704,0.0970363288718929,0.0750478011472275,0.4416243654822335,0.9517766497461928,,,,,,GTFS unavailable - placeholder,28.0,33.4,33.4,Moderate,61.1,Moderate,0.763474867021097,-96.09173234615895,41.28475901283108
31055007518,Census Tract 75.18,2166,2273,0.9529256489221294,625,544,997,0.288550323176362,0.1869775626924769,1109.378799045298,1415.0,102083.0,2552.075,-1137.0749999999998,False,0.3246753246753247,0.0430629502035703,0.0575350467289719,147.0,0.0582408874801901,0.1029207232267037,0.8970792767732962,0.0114356359140781,0.0465152217586153,0.5152027027027027,0.972972972972973,,,,,,GTFS unavailable - placeholder,29.7,34.6,34.6,Moderate,55.5,Moderate,1.9524440180973375,-96.2260249645943,41.27665426548927
31055007523,Census Tract 75.23,627,1397,0.44881889763779526,81,194,352,0.1291866028708134,0.16964924838940587,635.7940745233044,1784.0,208325.0,5208.125,-3424.125,False,0.5125,0.0561085972850678,0.0180102915951972,7.0,0.0091264667535853,0.1667384747953468,0.8332615252046531,0.0017233950883239,0.0473933649289099,0.7238033635187581,0.9883570504527812,,,,,,GTFS unavailable - placeholder,27.2,33.2,33.2,Lower,64.8,Moderate,0.9861683603611784,-96.22541132146307,41.256537589310156
31055007519,Census Tract 75.19,4300,3068,1.4015645371577574,569,856,2875,0.13232558139534883,0.17014341590612778,1417.5315663489139,1446.0,126241.0,3156.025,-1710.025,False,0.5703245749613601,0.0177730518000911,0.0082880823092312,37.0,0.0142691862707288,0.1836641915441733,0.8163358084558267,0.007273829368086,0.08986210031823,0.564066852367688,0.9890900649953576,,,,,,GTFS unavailable - placeholder,25.0,30.6,30.6,Lower,65.7,Moderate,3.0334421483645393,-96.19732692970013,41.27350690626
31055007320,Census Tract 73.20,1025,1848,0.5546536796536796,299,209,517,0.2917073170731707,0.17424242424242425,762.4335213589346,1344.0,105467.0,2636.675,-1292.6750000000002,False,0.9365079365079364,0.0537078098053707,0.0,50.0,0.0361271676300578,0.5412663217541267,0.4587336782458733,0.1396895787139689,0.1194875585119487,0.2332373508844097,0.732620320855615,,,,,,GTFS unavailable - placeholder,29.0,34.4,34.4,Moderate,56.0,Moderate,1.3443795049476264,-96.03728578760077,41.32125405751038
31055007520,Census Tract 75.20,1122,2302,0.48740225890529976,392,436,294,0.3493761140819964,0.17593397046046916,1135.2614765353435,1574.0,194231.0,4855.775,-3281.7749999999996,False,0.517799352750809,0.0351278320515485,0.0,166.0,0.1106666666666666,0.1879027229266264,0.8120972770733735,0.0297235501974641,0.0311785491581791,0.7241253644314869,0.9613702623906706,,,,,,GTFS unavailable - placeholder,33.7,37.9,37.9,Moderate,49.1,Moderate,0.9883185708231591,-96.18503208335117,41.284061899968314
31055007522,Census Tract 75.22,510,1036,0.4922779922779923,147,125,238,0.28823529411764703,0.14575289575289574,260.74468382243515,1540.0,159709.0,3992.725,-2452.725,False,0.390625,0.0069040697674418,0.0,43.0,0.0448383733055265,0.2593398621690242,0.7406601378309757,0.0018135654697134,0.0671019223793979,0.6876824284880327,0.9935785172212492,,,,,,GTFS unavailable - placeholder,27.9,33.2,33.2,Lower,55.6,Moderate,1.9559363302198924,-96.21753295555837,41.29718271108783
31055006605,Census Tract 66.05,3916,1576,2.484771573604061,338,812,2766,0.08631256384065372,0.15228426395939088,7896.239824417634,1294.0,60281.0,1507.025,-213.0250000000001,False,0.4494773519163763,0.0663946587537092,0.0110981308411214,309.0,0.1795467751307379,0.2920450417726117,0.7079549582273883,0.1398474391572829,0.0504903741373047,0.3739456419868791,0.9597000937207124,,,,,,GTFS unavailable - placeholder,37.6,39.9,39.9,Moderate,60.4,Moderate,0.49593225219559667,-96.0579421774219,41.27097148396557
