GEOID,tract_name,opportunity_access_index,opportunity_access_tier,job_access_opportunity_norm,wage_opportunity_norm,housing_affordability_opportunity_norm,transit_access_opportunity_norm,vehicle_access_opportunity_norm,total_jobs,resident_workers,jobs_worker_ratio,median_rent,median_household_income,nearest_stop_miles,stops_within_0_5_mi,routes_within_0_5_mi
31055007435,Census Tract 74.35,61.3,Moderate,0.0024298286616999407,0.7071453358150099,1.0,,0.9870272604797176,195,1983,0.09833585476550681,1684.0,84635.0,,,
31055007436,Census Tract 74.36,56.6,Moderate,0.019760569183804137,0.6173664392145097,1.0,,0.8279782205468799,1126,2355,0.4781316348195329,1069.0,65960.0,,,
31055007439,Census Tract 74.39,66.8,Higher,0.08106234687920272,0.8378446145697644,1.0,,0.9775113030146589,4940,2712,1.8215339233038348,1365.0,106477.0,,,
31055007440,Census Tract 74.40,61.1,Moderate,0.05326302638782796,0.6841003694677277,1.0,,0.9224588694872934,1633,1347,1.212323682256867,1135.0,59940.0,,,
31055007518,Census Tract 75.18,55.5,Moderate,0.041426243980638024,0.5437941670695939,1.0,,0.830866109590357,2166,2273,0.9529256489221294,1415.0,102083.0,,,
31055007523,Census Tract 75.23,64.8,Moderate,0.018422978118371375,0.8377767188405412,1.0,,0.9734963718014569,627,1397,0.44881889763779526,1784.0,208325.0,,,
31055007519,Census Tract 75.19,65.7,Moderate,0.061898414995889814,0.8319861605200662,1.0,,0.958561706537025,4300,3068,1.4015645371577574,1446.0,126241.0,,,
31055007320,Census Tract 73.20,56.0,Moderate,0.02325240288204262,0.537970375306138,1.0,,0.8950852455187716,1025,1848,0.5546536796536796,1344.0,105467.0,,,
31055007520,Census Tract 75.20,49.1,Moderate,0.020183603848606204,0.4315871905404327,1.0,,0.6786195286195289,1122,2302,0.48740225890529976,1574.0,194231.0,,,
31055007522,Census Tract 75.22,55.6,Moderate,0.020406092023501347,0.5443753096683326,1.0,,0.8697875522693044,510,1036,0.4922779922779923,1540.0,159709.0,,,
31055006605,Census Tract 66.05,60.4,Moderate,0.11132703181121596,0.9168676146520058,1.0,,0.4785889106051803,3916,1576,2.484771573604061,1294.0,60281.0,,,
31055006606,Census Tract 66.06,57.3,Moderate,0.06747379919935952,0.5402414677344486,0.9743482576667883,,0.9224111342431955,2310,1516,1.5237467018469657,1241.0,49149.0,,,
31055007521,Census Tract 75.21,60.7,Moderate,0.01671148320256544,0.658033792905774,1.0,,1.0,909,2210,0.4113122171945701,2188.0,133711.0,,,
31055007524,Census Tract 75.24,60.1,Moderate,0.13294261849131775,0.6076434509602437,1.0,,0.8404713804713806,6411,2167,2.9584679280110753,1683.0,118156.0,,,
31055007319,Census Tract 73.19,63.7,Moderate,0.009491068046532465,0.8503105159751753,1.0,,0.9126949878532157,719,2841,0.25307990144315384,1052.0,99821.0,,,
31055007409,Census Tract 74.09,93.4,Higher,1.0,0.8118873501695101,1.0,,0.9009986225895319,31029,1413,21.959660297239914,1329.0,81591.0,,,
31055007424,Census Tract 74.24,52.6,Moderate,0.007179898658514336,0.47780090257770946,1.0,,0.8217666996853122,333,1645,0.20243161094224923,1083.0,56179.0,,,
31055007429,Census Tract 74.29,61.7,Moderate,0.049484884577568236,0.6700502827547707,1.0,,0.9840217859475082,1840,1629,1.1295273173726212,1825.0,138125.0,,,
31055007432,Census Tract 74.32,49.6,Moderate,0.025640923281452226,0.2804303956715333,1.0,,0.8937821797743978,1041,1715,0.606997084548105,1609.0,78622.0,,,
31055007433,Census Tract 74.33,55.8,Moderate,0.012790535103987121,0.5554622232538999,1.0,,0.8813062505160598,737,2265,0.32538631346578367,1136.0,74846.0,,,
31055007473,Census Tract 74.73,96.7,Higher,0.9356351892958586,0.9499954676524156,0.9992163418839141,,1.0,3555,173,20.54913294797688,,73750.0,,,
31055007474,Census Tract 74.74,75.5,Higher,0.42999445182582063,0.9636040952219947,1.0,,0.6926705707380554,6855,724,9.468232044198896,3501.0,238793.0,,,
31055007434,Census Tract 74.34,49.5,Moderate,0.012957594131505995,0.44698313179750226,1.0,,0.6883263380725313,563,1711,0.32904734073641145,1162.0,68726.0,,,
31055007456,Census Tract 74.56,67.9,Higher,0.0596838211944679,0.9213032935880714,1.0,,0.960179661452923,1740,1286,1.3530326594090203,1165.0,70982.0,,,
